,leiden_subclusters,labels
14053,2,CD8 T cells
14054,1,Mature B cells
14055,"10,0",Tregs
14056,13,B1 B cells
14057,"20,0",Ly6-high monocytes
14058,9,Mature B cells
14059,1,Mature B cells
14060,2,CD8 T cells
14061,1,Mature B cells
14062,0,CD4 T cells
14063,2,CD8 T cells
14064,1,Mature B cells
14065,2,CD8 T cells
14066,0,CD4 T cells
14067,5,Mature B cells
14068,22,GD T cells
14069,"15,0",cDC2s
14070,1,Mature B cells
14071,13,B1 B cells
14072,0,CD4 T cells
14073,5,Mature B cells
14074,0,CD4 T cells
14075,"10,1",ICOS-high Tregs
14076,4,Mature B cells
14077,1,Mature B cells
14078,0,CD4 T cells
14079,0,CD4 T cells
14080,7,Mature B cells
14081,1,Mature B cells
14082,0,CD4 T cells
14083,0,CD4 T cells
14084,0,CD4 T cells
14085,1,Mature B cells
14086,25,B-CD4 T cell doublets
14087,"12,0",NKT cells
14088,7,Mature B cells
14089,4,Mature B cells
14090,"12,0",NKT cells
14091,17,Low quality B cells
14092,4,Mature B cells
14093,2,CD8 T cells
14094,19,Cycling B/T cells
14095,9,Mature B cells
14096,2,CD8 T cells
14097,1,Mature B cells
14098,2,CD8 T cells
14099,13,B1 B cells
14100,1,Mature B cells
14101,13,B1 B cells
14102,1,Mature B cells
14103,2,CD8 T cells
14104,7,Mature B cells
14105,0,CD4 T cells
14106,11,MZ B cells
14107,2,CD8 T cells
14108,5,Mature B cells
14109,3,Transitional B cells
14110,0,CD4 T cells
14111,0,CD4 T cells
14112,4,Mature B cells
14113,11,MZ B cells
14114,28,pDCs
14115,1,Mature B cells
14116,3,Transitional B cells
14117,4,Mature B cells
14118,"16,0",B-macrophage doublets
14119,18,Ifit3-high CD8 T cells
14120,1,Mature B cells
14121,2,CD8 T cells
14122,0,CD4 T cells
14123,"10,0",Tregs
14124,31,Plasma B cells
14125,0,CD4 T cells
14126,25,B-CD4 T cell doublets
14127,13,B1 B cells
14128,1,Mature B cells
14129,0,CD4 T cells
14130,5,Mature B cells
14131,6,CD122+ CD8 T cells
14132,3,Transitional B cells
14133,29,Low quality T cells
14134,"15,0",cDC2s
14135,21,B doublets
14136,1,Mature B cells
14137,7,Mature B cells
14138,1,Mature B cells
14139,"16,1",MZ/Marco-high macrophages
14140,7,Mature B cells
14141,27,Activated CD4 T cells
14142,6,CD122+ CD8 T cells
14143,0,CD4 T cells
14144,"15,0",cDC2s
14145,18,Ifit3-high CD8 T cells
14146,4,Mature B cells
14147,5,Mature B cells
14148,2,CD8 T cells
14149,1,Mature B cells
14150,8,Ifit3-high B cells
14151,1,Mature B cells
14152,5,Mature B cells
14153,7,Mature B cells
14154,31,Plasma B cells
14155,0,CD4 T cells
14156,"12,0",NKT cells
14157,17,Low quality B cells
14158,0,CD4 T cells
14159,0,CD4 T cells
14160,0,CD4 T cells
14161,4,Mature B cells
14162,3,Transitional B cells
14163,4,Mature B cells
14164,5,Mature B cells
14165,22,GD T cells
14166,"10,0",Tregs
14167,1,Mature B cells
14168,0,CD4 T cells
14169,3,Transitional B cells
14170,0,CD4 T cells
14171,2,CD8 T cells
14172,1,Mature B cells
14173,3,Transitional B cells
14174,8,Ifit3-high B cells
14175,5,Mature B cells
14176,0,CD4 T cells
14177,8,Ifit3-high B cells
14178,14,Ifit3-high CD4 T cells
14179,19,Cycling B/T cells
14180,21,B doublets
14181,6,CD122+ CD8 T cells
14182,2,CD8 T cells
14183,1,Mature B cells
14184,"12,0",NKT cells
14185,11,MZ B cells
14186,0,CD4 T cells
14187,0,CD4 T cells
14188,7,Mature B cells
14189,"20,0",Ly6-high monocytes
14190,"20,0",Ly6-high monocytes
14191,11,MZ B cells
14192,"24,2",Low quality T cells
14193,8,Ifit3-high B cells
14194,"12,1",NK cells
14195,4,Mature B cells
14196,3,Transitional B cells
14197,0,CD4 T cells
14198,13,B1 B cells
14199,4,Mature B cells
14200,0,CD4 T cells
14201,2,CD8 T cells
14202,1,Mature B cells
14203,0,CD4 T cells
14204,21,B doublets
14205,1,Mature B cells
14206,5,Mature B cells
14207,21,B doublets
14208,6,CD122+ CD8 T cells
14209,11,MZ B cells
14210,2,CD8 T cells
14211,2,CD8 T cells
14212,14,Ifit3-high CD4 T cells
14213,1,Mature B cells
14214,8,Ifit3-high B cells
14215,0,CD4 T cells
14216,1,Mature B cells
14217,3,Transitional B cells
14218,1,Mature B cells
14219,1,Mature B cells
14220,6,CD122+ CD8 T cells
14221,4,Mature B cells
14222,7,Mature B cells
14223,"10,0",Tregs
14224,0,CD4 T cells
14225,8,Ifit3-high B cells
14226,0,CD4 T cells
14227,0,CD4 T cells
14228,2,CD8 T cells
14229,6,CD122+ CD8 T cells
14230,7,Mature B cells
14231,5,Mature B cells
14232,17,Low quality B cells
14233,7,Mature B cells
14234,1,Mature B cells
14235,2,CD8 T cells
14236,1,Mature B cells
14237,6,CD122+ CD8 T cells
14238,1,Mature B cells
14239,1,Mature B cells
14240,1,Mature B cells
14241,5,Mature B cells
14242,6,CD122+ CD8 T cells
14243,3,Transitional B cells
14244,1,Mature B cells
14245,7,Mature B cells
14246,9,Mature B cells
14247,1,Mature B cells
14248,0,CD4 T cells
14249,6,CD122+ CD8 T cells
14250,3,Transitional B cells
14251,0,CD4 T cells
14252,1,Mature B cells
14253,"15,2",Migratory DCs
14254,2,CD8 T cells
14255,5,Mature B cells
14256,0,CD4 T cells
14257,27,Activated CD4 T cells
14258,1,Mature B cells
14259,4,Mature B cells
14260,3,Transitional B cells
14261,2,CD8 T cells
14262,29,Low quality T cells
14263,19,Cycling B/T cells
14264,1,Mature B cells
14265,4,Mature B cells
14266,5,Mature B cells
14267,"15,1",cDC1s
14268,1,Mature B cells
14269,14,Ifit3-high CD4 T cells
14270,1,Mature B cells
14271,1,Mature B cells
14272,2,CD8 T cells
14273,3,Transitional B cells
14274,4,Mature B cells
14275,"16,1",MZ/Marco-high macrophages
14276,27,Activated CD4 T cells
14277,"10,0",Tregs
14278,17,Low quality B cells
14279,5,Mature B cells
14280,2,CD8 T cells
14281,11,MZ B cells
14282,0,CD4 T cells
14283,5,Mature B cells
14284,1,Mature B cells
14285,8,Ifit3-high B cells
14286,0,CD4 T cells
14287,"10,1",ICOS-high Tregs
14288,25,B-CD4 T cell doublets
14289,9,Mature B cells
14290,1,Mature B cells
14291,1,Mature B cells
14292,3,Transitional B cells
14293,"20,0",Ly6-high monocytes
14294,3,Transitional B cells
14295,18,Ifit3-high CD8 T cells
14296,1,Mature B cells
14297,0,CD4 T cells
14298,11,MZ B cells
14299,1,Mature B cells
14300,1,Mature B cells
14301,3,Transitional B cells
14302,4,Mature B cells
14303,3,Transitional B cells
14304,2,CD8 T cells
14305,3,Transitional B cells
14306,0,CD4 T cells
14307,3,Transitional B cells
14308,18,Ifit3-high CD8 T cells
14309,11,MZ B cells
14310,4,Mature B cells
14311,3,Transitional B cells
14312,3,Transitional B cells
14313,2,CD8 T cells
14314,1,Mature B cells
14315,"24,2",Low quality T cells
14316,7,Mature B cells
14317,19,Cycling B/T cells
14318,5,Mature B cells
14319,3,Transitional B cells
14320,"20,0",Ly6-high monocytes
14321,2,CD8 T cells
14322,11,MZ B cells
14323,8,Ifit3-high B cells
14324,8,Ifit3-high B cells
14325,17,Low quality B cells
14326,8,Ifit3-high B cells
14327,11,MZ B cells
14328,7,Mature B cells
14329,19,Cycling B/T cells
14330,7,Mature B cells
14331,0,CD4 T cells
14332,3,Transitional B cells
14333,1,Mature B cells
14334,0,CD4 T cells
14335,7,Mature B cells
14336,5,Mature B cells
14337,4,Mature B cells
14338,0,CD4 T cells
14339,1,Mature B cells
14340,26,Neutrophils
14341,5,Mature B cells
14342,7,Mature B cells
14343,6,CD122+ CD8 T cells
14344,14,Ifit3-high CD4 T cells
14345,2,CD8 T cells
14346,14,Ifit3-high CD4 T cells
14347,11,MZ B cells
14348,0,CD4 T cells
14349,7,Mature B cells
14350,0,CD4 T cells
14351,"20,1",Ly6-low monocytes
14352,8,Ifit3-high B cells
14353,7,Mature B cells
14354,14,Ifit3-high CD4 T cells
14355,18,Ifit3-high CD8 T cells
14356,22,GD T cells
14357,"16,0",B-macrophage doublets
14358,9,Mature B cells
14359,22,GD T cells
14360,5,Mature B cells
14361,5,Mature B cells
14362,8,Ifit3-high B cells
14363,"24,2",Low quality T cells
14364,5,Mature B cells
14365,9,Mature B cells
14366,7,Mature B cells
14367,0,CD4 T cells
14368,"16,1",MZ/Marco-high macrophages
14369,8,Ifit3-high B cells
14370,0,CD4 T cells
14371,0,CD4 T cells
14372,4,Mature B cells
14373,9,Mature B cells
14374,0,CD4 T cells
14375,1,Mature B cells
14376,0,CD4 T cells
14377,4,Mature B cells
14378,5,Mature B cells
14379,9,Mature B cells
14380,2,CD8 T cells
14381,21,B doublets
14382,0,CD4 T cells
14383,"24,0",B-CD8 T cell doublets
14384,0,CD4 T cells
14385,6,CD122+ CD8 T cells
14386,"10,1",ICOS-high Tregs
14387,0,CD4 T cells
14388,14,Ifit3-high CD4 T cells
14389,"24,0",B-CD8 T cell doublets
14390,8,Ifit3-high B cells
14391,4,Mature B cells
14392,22,GD T cells
14393,9,Mature B cells
14394,13,B1 B cells
14395,"20,0",Ly6-high monocytes
14396,0,CD4 T cells
14397,7,Mature B cells
14398,22,GD T cells
14399,"24,0",B-CD8 T cell doublets
14400,7,Mature B cells
14401,8,Ifit3-high B cells
14402,7,Mature B cells
14403,2,CD8 T cells
14404,0,CD4 T cells
14405,3,Transitional B cells
14406,1,Mature B cells
14407,0,CD4 T cells
14408,3,Transitional B cells
14409,5,Mature B cells
14410,2,CD8 T cells
14411,22,GD T cells
14412,0,CD4 T cells
14413,1,Mature B cells
14414,7,Mature B cells
14415,0,CD4 T cells
14416,8,Ifit3-high B cells
14417,"10,1",ICOS-high Tregs
14418,0,CD4 T cells
14419,13,B1 B cells
14420,1,Mature B cells
14421,0,CD4 T cells
14422,7,Mature B cells
14423,0,CD4 T cells
14424,1,Mature B cells
14425,3,Transitional B cells
14426,"20,0",Ly6-high monocytes
14427,0,CD4 T cells
14428,1,Mature B cells
14429,5,Mature B cells
14430,"10,1",ICOS-high Tregs
14431,25,B-CD4 T cell doublets
14432,8,Ifit3-high B cells
14433,19,Cycling B/T cells
14434,22,GD T cells
14435,8,Ifit3-high B cells
14436,"15,2",Migratory DCs
14437,23,T doublets
14438,18,Ifit3-high CD8 T cells
14439,"15,2",Migratory DCs
14440,"15,2",Migratory DCs
14441,2,CD8 T cells
14442,7,Mature B cells
14443,1,Mature B cells
14444,1,Mature B cells
14445,1,Mature B cells
14446,5,Mature B cells
14447,6,CD122+ CD8 T cells
14448,0,CD4 T cells
14449,0,CD4 T cells
14450,0,CD4 T cells
14451,8,Ifit3-high B cells
14452,"15,0",cDC2s
14453,21,B doublets
14454,14,Ifit3-high CD4 T cells
14455,0,CD4 T cells
14456,3,Transitional B cells
14457,"12,0",NKT cells
14458,0,CD4 T cells
14459,4,Mature B cells
14460,8,Ifit3-high B cells
14461,3,Transitional B cells
14462,7,Mature B cells
14463,7,Mature B cells
14464,0,CD4 T cells
14465,0,CD4 T cells
14466,0,CD4 T cells
14467,1,Mature B cells
14468,"16,2",Red-pulp macrophages
14469,0,CD4 T cells
14470,"24,0",B-CD8 T cell doublets
14471,1,Mature B cells
14472,2,CD8 T cells
14473,17,Low quality B cells
14474,2,CD8 T cells
14475,17,Low quality B cells
14476,2,CD8 T cells
14477,21,B doublets
14478,5,Mature B cells
14479,4,Mature B cells
14480,6,CD122+ CD8 T cells
14481,2,CD8 T cells
14482,8,Ifit3-high B cells
14483,1,Mature B cells
14484,14,Ifit3-high CD4 T cells
14485,3,Transitional B cells
14486,13,B1 B cells
14487,2,CD8 T cells
14488,9,Mature B cells
14489,0,CD4 T cells
14490,17,Low quality B cells
14491,5,Mature B cells
14492,1,Mature B cells
14493,9,Mature B cells
14494,8,Ifit3-high B cells
14495,2,CD8 T cells
14496,2,CD8 T cells
14497,5,Mature B cells
14498,1,Mature B cells
14499,1,Mature B cells
14500,0,CD4 T cells
14501,0,CD4 T cells
14502,2,CD8 T cells
14503,21,B doublets
14504,0,CD4 T cells
14505,8,Ifit3-high B cells
14506,2,CD8 T cells
14507,0,CD4 T cells
14508,2,CD8 T cells
14509,13,B1 B cells
14510,4,Mature B cells
14511,0,CD4 T cells
14512,0,CD4 T cells
14513,2,CD8 T cells
14514,0,CD4 T cells
14515,"12,0",NKT cells
14516,1,Mature B cells
14517,1,Mature B cells
14518,2,CD8 T cells
14519,"16,0",B-macrophage doublets
14520,23,T doublets
14521,7,Mature B cells
14522,"10,0",Tregs
14523,13,B1 B cells
14524,9,Mature B cells
14525,"15,0",cDC2s
14526,1,Mature B cells
14527,2,CD8 T cells
14528,0,CD4 T cells
14529,5,Mature B cells
14530,1,Mature B cells
14531,3,Transitional B cells
14532,0,CD4 T cells
14533,7,Mature B cells
14534,"15,1",cDC1s
14535,"12,1",NK cells
14536,"10,1",ICOS-high Tregs
14537,0,CD4 T cells
14538,1,Mature B cells
14539,"24,2",Low quality T cells
14540,23,T doublets
14541,17,Low quality B cells
14542,17,Low quality B cells
14543,7,Mature B cells
14544,7,Mature B cells
14545,2,CD8 T cells
14546,5,Mature B cells
14547,2,CD8 T cells
14548,9,Mature B cells
14549,21,B doublets
14550,1,Mature B cells
14551,0,CD4 T cells
14552,1,Mature B cells
14553,8,Ifit3-high B cells
14554,0,CD4 T cells
14555,17,Low quality B cells
14556,3,Transitional B cells
14557,8,Ifit3-high B cells
14558,5,Mature B cells
14559,0,CD4 T cells
14560,3,Transitional B cells
14561,7,Mature B cells
14562,17,Low quality B cells
14563,0,CD4 T cells
14564,9,Mature B cells
14565,5,Mature B cells
14566,2,CD8 T cells
14567,29,Low quality T cells
14568,"10,0",Tregs
14569,18,Ifit3-high CD8 T cells
14570,0,CD4 T cells
14571,5,Mature B cells
14572,3,Transitional B cells
14573,1,Mature B cells
14574,2,CD8 T cells
14575,"10,2",Tregs
14576,2,CD8 T cells
14577,"10,0",Tregs
14578,26,Neutrophils
14579,1,Mature B cells
14580,5,Mature B cells
14581,0,CD4 T cells
14582,4,Mature B cells
14583,0,CD4 T cells
14584,11,MZ B cells
14585,"10,1",ICOS-high Tregs
14586,3,Transitional B cells
14587,11,MZ B cells
14588,4,Mature B cells
14589,3,Transitional B cells
14590,7,Mature B cells
14591,5,Mature B cells
14592,2,CD8 T cells
14593,0,CD4 T cells
14594,27,Activated CD4 T cells
14595,1,Mature B cells
14596,3,Transitional B cells
14597,4,Mature B cells
14598,3,Transitional B cells
14599,0,CD4 T cells
14600,3,Transitional B cells
14601,11,MZ B cells
14602,0,CD4 T cells
14603,0,CD4 T cells
14604,"16,1",MZ/Marco-high macrophages
14605,"24,2",Low quality T cells
14606,8,Ifit3-high B cells
14607,2,CD8 T cells
14608,0,CD4 T cells
14609,22,GD T cells
14610,3,Transitional B cells
14611,6,CD122+ CD8 T cells
14612,25,B-CD4 T cell doublets
14613,7,Mature B cells
14614,0,CD4 T cells
14615,3,Transitional B cells
14616,0,CD4 T cells
14617,0,CD4 T cells
14618,2,CD8 T cells
14619,"15,0",cDC2s
14620,1,Mature B cells
14621,8,Ifit3-high B cells
14622,0,CD4 T cells
14623,1,Mature B cells
14624,4,Mature B cells
14625,0,CD4 T cells
14626,4,Mature B cells
14627,14,Ifit3-high CD4 T cells
14628,18,Ifit3-high CD8 T cells
14629,0,CD4 T cells
14630,1,Mature B cells
14631,2,CD8 T cells
14632,"20,0",Ly6-high monocytes
14633,25,B-CD4 T cell doublets
14634,3,Transitional B cells
14635,"20,0",Ly6-high monocytes
14636,0,CD4 T cells
14637,1,Mature B cells
14638,1,Mature B cells
14639,"12,0",NKT cells
14640,1,Mature B cells
14641,23,T doublets
14642,30,Neutrophils
14643,7,Mature B cells
14644,"16,1",MZ/Marco-high macrophages
14645,"10,1",ICOS-high Tregs
14646,22,GD T cells
14647,4,Mature B cells
14648,29,Low quality T cells
14649,1,Mature B cells
14650,19,Cycling B/T cells
14651,"12,1",NK cells
14652,7,Mature B cells
14653,1,Mature B cells
14654,28,pDCs
14655,3,Transitional B cells
14656,1,Mature B cells
14657,17,Low quality B cells
14658,6,CD122+ CD8 T cells
14659,17,Low quality B cells
14660,"20,1",Ly6-low monocytes
14661,4,Mature B cells
14662,17,Low quality B cells
14663,1,Mature B cells
14664,7,Mature B cells
14665,3,Transitional B cells
14666,"10,1",ICOS-high Tregs
14667,2,CD8 T cells
14668,4,Mature B cells
14669,6,CD122+ CD8 T cells
14670,"10,0",Tregs
14671,14,Ifit3-high CD4 T cells
14672,25,B-CD4 T cell doublets
14673,2,CD8 T cells
14674,18,Ifit3-high CD8 T cells
14675,22,GD T cells
14676,3,Transitional B cells
14677,2,CD8 T cells
14678,5,Mature B cells
14679,8,Ifit3-high B cells
14680,0,CD4 T cells
14681,3,Transitional B cells
14682,3,Transitional B cells
14683,0,CD4 T cells
14684,7,Mature B cells
14685,0,CD4 T cells
14686,"10,0",Tregs
14687,9,Mature B cells
14688,7,Mature B cells
14689,4,Mature B cells
14690,1,Mature B cells
14691,5,Mature B cells
14692,3,Transitional B cells
14693,0,CD4 T cells
14694,17,Low quality B cells
14695,26,Neutrophils
14696,4,Mature B cells
14697,17,Low quality B cells
14698,5,Mature B cells
14699,"10,0",Tregs
14700,3,Transitional B cells
14701,14,Ifit3-high CD4 T cells
14702,17,Low quality B cells
14703,2,CD8 T cells
14704,0,CD4 T cells
14705,28,pDCs
14706,7,Mature B cells
14707,23,T doublets
14708,"10,1",ICOS-high Tregs
14709,19,Cycling B/T cells
14710,"12,0",NKT cells
14711,11,MZ B cells
14712,8,Ifit3-high B cells
14713,0,CD4 T cells
14714,9,Mature B cells
14715,0,CD4 T cells
14716,8,Ifit3-high B cells
14717,7,Mature B cells
14718,"20,0",Ly6-high monocytes
14719,5,Mature B cells
14720,0,CD4 T cells
14721,1,Mature B cells
14722,3,Transitional B cells
14723,"12,1",NK cells
14724,1,Mature B cells
14725,7,Mature B cells
14726,6,CD122+ CD8 T cells
14727,3,Transitional B cells
14728,3,Transitional B cells
14729,6,CD122+ CD8 T cells
14730,9,Mature B cells
14731,4,Mature B cells
14732,0,CD4 T cells
14733,9,Mature B cells
14734,0,CD4 T cells
14735,2,CD8 T cells
14736,2,CD8 T cells
14737,5,Mature B cells
14738,"16,0",B-macrophage doublets
14739,"16,0",B-macrophage doublets
14740,0,CD4 T cells
14741,5,Mature B cells
14742,19,Cycling B/T cells
14743,"16,1",MZ/Marco-high macrophages
14744,6,CD122+ CD8 T cells
14745,1,Mature B cells
14746,11,MZ B cells
14747,0,CD4 T cells
14748,2,CD8 T cells
14749,7,Mature B cells
14750,0,CD4 T cells
14751,0,CD4 T cells
14752,4,Mature B cells
14753,2,CD8 T cells
14754,"24,0",B-CD8 T cell doublets
14755,"12,0",NKT cells
14756,2,CD8 T cells
14757,"12,0",NKT cells
14758,7,Mature B cells
14759,2,CD8 T cells
14760,2,CD8 T cells
14761,11,MZ B cells
14762,0,CD4 T cells
14763,3,Transitional B cells
14764,0,CD4 T cells
14765,1,Mature B cells
14766,1,Mature B cells
14767,0,CD4 T cells
14768,13,B1 B cells
14769,"20,1",Ly6-low monocytes
14770,2,CD8 T cells
14771,8,Ifit3-high B cells
14772,1,Mature B cells
14773,13,B1 B cells
14774,6,CD122+ CD8 T cells
14775,8,Ifit3-high B cells
14776,"10,0",Tregs
14777,3,Transitional B cells
14778,18,Ifit3-high CD8 T cells
14779,8,Ifit3-high B cells
14780,1,Mature B cells
14781,4,Mature B cells
14782,"16,0",B-macrophage doublets
14783,0,CD4 T cells
14784,1,Mature B cells
14785,13,B1 B cells
14786,1,Mature B cells
14787,3,Transitional B cells
14788,3,Transitional B cells
14789,3,Transitional B cells
14790,23,T doublets
14791,"12,1",NK cells
14792,2,CD8 T cells
14793,17,Low quality B cells
14794,"16,0",B-macrophage doublets
14795,29,Low quality T cells
14796,4,Mature B cells
14797,"12,0",NKT cells
14798,11,MZ B cells
14799,21,B doublets
14800,9,Mature B cells
14801,0,CD4 T cells
14802,4,Mature B cells
14803,2,CD8 T cells
14804,2,CD8 T cells
14805,2,CD8 T cells
14806,"24,0",B-CD8 T cell doublets
14807,4,Mature B cells
14808,"10,0",Tregs
14809,3,Transitional B cells
14810,5,Mature B cells
14811,9,Mature B cells
14812,"16,2",Red-pulp macrophages
14813,7,Mature B cells
14814,25,B-CD4 T cell doublets
14815,13,B1 B cells
14816,2,CD8 T cells
14817,"12,1",NK cells
14818,"10,0",Tregs
14819,0,CD4 T cells
14820,4,Mature B cells
14821,6,CD122+ CD8 T cells
14822,1,Mature B cells
14823,3,Transitional B cells
14824,"10,1",ICOS-high Tregs
14825,2,CD8 T cells
14826,11,MZ B cells
14827,"16,1",MZ/Marco-high macrophages
14828,"10,0",Tregs
14829,2,CD8 T cells
14830,6,CD122+ CD8 T cells
14831,0,CD4 T cells
14832,2,CD8 T cells
14833,"10,1",ICOS-high Tregs
14834,29,Low quality T cells
14835,1,Mature B cells
14836,8,Ifit3-high B cells
14837,0,CD4 T cells
14838,5,Mature B cells
14839,0,CD4 T cells
14840,0,CD4 T cells
14841,19,Cycling B/T cells
14842,6,CD122+ CD8 T cells
14843,11,MZ B cells
14844,"10,0",Tregs
14845,"10,0",Tregs
14846,5,Mature B cells
14847,6,CD122+ CD8 T cells
14848,0,CD4 T cells
14849,1,Mature B cells
14850,5,Mature B cells
14851,0,CD4 T cells
14852,9,Mature B cells
14853,2,CD8 T cells
14854,11,MZ B cells
14855,2,CD8 T cells
14856,23,T doublets
14857,22,GD T cells
14858,0,CD4 T cells
14859,29,Low quality T cells
14860,17,Low quality B cells
14861,0,CD4 T cells
14862,5,Mature B cells
14863,3,Transitional B cells
14864,17,Low quality B cells
14865,"10,1",ICOS-high Tregs
14866,2,CD8 T cells
14867,0,CD4 T cells
14868,0,CD4 T cells
14869,1,Mature B cells
14870,6,CD122+ CD8 T cells
14871,4,Mature B cells
14872,6,CD122+ CD8 T cells
14873,0,CD4 T cells
14874,3,Transitional B cells
14875,3,Transitional B cells
14876,25,B-CD4 T cell doublets
14877,3,Transitional B cells
14878,4,Mature B cells
14879,30,Neutrophils
14880,3,Transitional B cells
14881,8,Ifit3-high B cells
14882,14,Ifit3-high CD4 T cells
14883,13,B1 B cells
14884,8,Ifit3-high B cells
14885,1,Mature B cells
14886,"10,2",Tregs
14887,0,CD4 T cells
14888,0,CD4 T cells
14889,1,Mature B cells
14890,5,Mature B cells
14891,"20,0",Ly6-high monocytes
14892,17,Low quality B cells
14893,2,CD8 T cells
14894,26,Neutrophils
14895,"15,1",cDC1s
14896,22,GD T cells
14897,1,Mature B cells
14898,1,Mature B cells
14899,0,CD4 T cells
14900,1,Mature B cells
14901,"10,1",ICOS-high Tregs
14902,3,Transitional B cells
14903,14,Ifit3-high CD4 T cells
14904,4,Mature B cells
14905,0,CD4 T cells
14906,0,CD4 T cells
14907,"10,1",ICOS-high Tregs
14908,"10,1",ICOS-high Tregs
14909,0,CD4 T cells
14910,"16,0",B-macrophage doublets
14911,"10,1",ICOS-high Tregs
14912,3,Transitional B cells
14913,5,Mature B cells
14914,13,B1 B cells
14915,2,CD8 T cells
14916,7,Mature B cells
14917,3,Transitional B cells
14918,5,Mature B cells
14919,1,Mature B cells
14920,1,Mature B cells
14921,19,Cycling B/T cells
14922,11,MZ B cells
14923,13,B1 B cells
14924,9,Mature B cells
14925,29,Low quality T cells
14926,2,CD8 T cells
14927,1,Mature B cells
14928,5,Mature B cells
14929,2,CD8 T cells
14930,11,MZ B cells
14931,14,Ifit3-high CD4 T cells
14932,26,Neutrophils
14933,11,MZ B cells
14934,5,Mature B cells
14935,3,Transitional B cells
14936,18,Ifit3-high CD8 T cells
14937,7,Mature B cells
14938,5,Mature B cells
14939,7,Mature B cells
14940,"12,1",NK cells
14941,3,Transitional B cells
14942,3,Transitional B cells
14943,3,Transitional B cells
14944,5,Mature B cells
14945,1,Mature B cells
14946,5,Mature B cells
14947,0,CD4 T cells
14948,11,MZ B cells
14949,1,Mature B cells
14950,2,CD8 T cells
14951,"24,0",B-CD8 T cell doublets
14952,9,Mature B cells
14953,4,Mature B cells
14954,"10,1",ICOS-high Tregs
14955,2,CD8 T cells
14956,8,Ifit3-high B cells
14957,1,Mature B cells
14958,"15,1",cDC1s
14959,1,Mature B cells
14960,1,Mature B cells
14961,"12,0",NKT cells
14962,14,Ifit3-high CD4 T cells
14963,1,Mature B cells
14964,14,Ifit3-high CD4 T cells
14965,2,CD8 T cells
14966,2,CD8 T cells
14967,3,Transitional B cells
14968,2,CD8 T cells
14969,22,GD T cells
14970,0,CD4 T cells
14971,11,MZ B cells
14972,0,CD4 T cells
14973,13,B1 B cells
14974,6,CD122+ CD8 T cells
14975,2,CD8 T cells
14976,6,CD122+ CD8 T cells
14977,2,CD8 T cells
14978,2,CD8 T cells
14979,4,Mature B cells
14980,17,Low quality B cells
14981,1,Mature B cells
14982,1,Mature B cells
14983,0,CD4 T cells
14984,1,Mature B cells
14985,"10,1",ICOS-high Tregs
14986,1,Mature B cells
14987,3,Transitional B cells
14988,18,Ifit3-high CD8 T cells
14989,0,CD4 T cells
14990,26,Neutrophils
14991,6,CD122+ CD8 T cells
14992,3,Transitional B cells
14993,0,CD4 T cells
14994,9,Mature B cells
14995,2,CD8 T cells
14996,21,B doublets
14997,11,MZ B cells
14998,2,CD8 T cells
14999,4,Mature B cells
15000,5,Mature B cells
15001,5,Mature B cells
15002,9,Mature B cells
15003,8,Ifit3-high B cells
15004,0,CD4 T cells
15005,0,CD4 T cells
15006,1,Mature B cells
15007,0,CD4 T cells
15008,22,GD T cells
15009,2,CD8 T cells
15010,"24,0",B-CD8 T cell doublets
15011,4,Mature B cells
15012,8,Ifit3-high B cells
15013,26,Neutrophils
15014,"16,0",B-macrophage doublets
15015,0,CD4 T cells
15016,"16,0",B-macrophage doublets
15017,4,Mature B cells
15018,0,CD4 T cells
15019,0,CD4 T cells
15020,"20,0",Ly6-high monocytes
15021,"12,1",NK cells
15022,0,CD4 T cells
15023,2,CD8 T cells
15024,7,Mature B cells
15025,2,CD8 T cells
15026,7,Mature B cells
15027,2,CD8 T cells
15028,3,Transitional B cells
15029,1,Mature B cells
15030,0,CD4 T cells
15031,"16,0",B-macrophage doublets
15032,1,Mature B cells
15033,27,Activated CD4 T cells
15034,1,Mature B cells
15035,"12,0",NKT cells
15036,17,Low quality B cells
15037,3,Transitional B cells
15038,0,CD4 T cells
15039,19,Cycling B/T cells
15040,6,CD122+ CD8 T cells
15041,11,MZ B cells
15042,0,CD4 T cells
15043,"10,0",Tregs
15044,"12,0",NKT cells
15045,17,Low quality B cells
15046,6,CD122+ CD8 T cells
15047,1,Mature B cells
15048,2,CD8 T cells
15049,7,Mature B cells
15050,6,CD122+ CD8 T cells
15051,3,Transitional B cells
15052,8,Ifit3-high B cells
15053,0,CD4 T cells
15054,4,Mature B cells
15055,"24,2",Low quality T cells
15056,5,Mature B cells
15057,1,Mature B cells
15058,"20,0",Ly6-high monocytes
15059,6,CD122+ CD8 T cells
15060,"12,0",NKT cells
15061,0,CD4 T cells
15062,7,Mature B cells
15063,26,Neutrophils
15064,2,CD8 T cells
15065,0,CD4 T cells
15066,0,CD4 T cells
15067,1,Mature B cells
15068,1,Mature B cells
15069,5,Mature B cells
15070,0,CD4 T cells
15071,"10,0",Tregs
15072,19,Cycling B/T cells
15073,2,CD8 T cells
15074,0,CD4 T cells
15075,1,Mature B cells
15076,14,Ifit3-high CD4 T cells
15077,7,Mature B cells
15078,23,T doublets
15079,1,Mature B cells
15080,"12,0",NKT cells
15081,1,Mature B cells
15082,4,Mature B cells
15083,2,CD8 T cells
