"","x"
"896","ATP5L2"
"897","ATP5O"
"898","ATP5S"
"899","ATP5SL"
"900","ATP6AP1"
"901","ATP6AP1L"
"902","ATP6AP2"
"903","ATP6V0A1"
"904","ATP6V0A2"
"905","ATP6V0B"
"906","ATP6V0C"
"907","ATP6V0D1"
"908","ATP6V0E1"
"909","ATP6V0E2"
"910","ATP6V0E2-AS1"
"911","ATP6V1A"
"912","ATP6V1B2"
"913","ATP6V1C1"
"914","ATP6V1C2"
"915","ATP6V1D"
"916","ATP6V1E1"
"917","ATP6V1E2"
"918","ATP6V1F"
"919","ATP6V1G1"
"920","ATP6V1G2"
"921","ATP6V1H"
"922","ATP7A"
"923","ATP8A1"
"924","ATP8A2"
"925","ATP8B1"
"926","ATP8B2"
"927","ATP8B3"
"928","ATP8B4"
"929","ATP9A"
"930","ATP9B"
"931","ATPAF1"
"932","ATPAF2"
"933","ATPIF1"
"934","ATR"
"935","ATRAID"
"936","ATRN"
"937","ATRX"
"938","ATXN1"
"939","ATXN10"
"940","ATXN1L"
"941","ATXN2"
"942","ATXN2L"
"943","ATXN3"
"944","ATXN7"
"945","ATXN7L1"
"946","ATXN7L2"
"947","ATXN7L3"
"948","ATXN7L3B"
"949","AUH"
"950","AUP1"
"951","AURKA"
"952","AURKAIP1"
"953","AURKB"
"954","AUTS2"
"955","AVEN"
"956","AVIL"
"957","AVL9"
"958","AVPI1"
"959","AXIN1"
"960","AXIN2"
"961","AZI2"
"962","AZIN1"
"963","AZU1"
"964","B2M"
"965","B3GALNT1"
"966","B3GALNT2"
"967","B3GALT4"
"968","B3GALT6"
"969","B3GAT2"
"970","B3GAT3"
"971","B3GNT2"
"972","B3GNT5"
"973","B3GNT7"
"974","B3GNT8"
"975","B3GNT9"
"976","B3GNTL1"
"977","B4GALNT3"
"978","B4GALT1"
"979","B4GALT2"
"980","B4GALT3"
"981","B4GALT4"
"982","B4GALT5"
"983","B4GALT6"
"984","B4GALT7"
"985","B9D1"
"986","B9D2"
"987","BAALC"
"988","BABAM1"
"989","BACE1"
"990","BACE2"
"991","BACH1"
"992","BACH2"
"993","BAD"
"994","BAG1"
"995","BAG2"
"996","BAG3"
"997","BAG4"
"998","BAG5"
"999","BAG6"
"1000","BAHD1"
"1001","BAIAP2"
"1002","BAIAP2-AS1"
"1003","BAIAP3"
"1004","BAK1"
"1005","BANF1"
"1006","BANK1"
"1007","BANP"
"1008","BAP1"
"1009","BARD1"
"1010","BASP1"
"1011","BATF"
"1012","BATF3"
"1013","BAX"
"1014","BAZ1A"
"1015","BAZ1B"
"1016","BAZ2A"
"1017","BAZ2B"
"1018","BBC3"
"1019","BBIP1"
"1020","BBS1"
"1021","BBS10"
"1022","BBS12"
"1023","BBS2"
"1024","BBS4"
"1025","BBS7"
"1026","BBS9"
"1027","BBX"
"1028","BCAP29"
"1029","BCAP31"
"1030","BCAS2"
"1031","BCAS3"
"1032","BCAS4"
"1033","BCAT1"
"1034","BCAT2"
"1035","BCCIP"
"1036","BCDIN3D"
"1037","BCKDHB"
"1038","BCKDK"
"1039","BCL10"
"1040","BCL11A"
"1041","BCL11B"
"1042","BCL2"
